No FOGO;MEDIDA;FABRICANTE;MODELO;DOT;SULCO;SIST.REF;TIPO;VIDA;ANOMALIA;ANOMALIA;ANOMALIA
15640;295/80R22.5;Mic;Xze2+;13;1,0;1;L;2;31;;
15715;295/80R22.5;Mic;Xze2+;15;3,0;1;L;1;40;;
15717;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;12;;
15738;295/80R22.5;Mic;Xze 2+;12;9,0;1;L;3;41;35;
15761;295/80R22.5;Mic;Xde 2+;13;5,0;1;T;2;32;;
15762;295/80R22.5;Mic;Xde 2+;13;2,0;1;T;1;34;;
15787;295/80R22.5;Mic;Xde 2+;13;10,0;1;L;3;34;;
15790;295/80R22.5;Mic;Fg85;13;11,0;1;L;1;34;;
15895;295/80R22.5;Bri; M729;13;7,0;1;T;2;12;;
15904;295/80R22.5;Bri;R227;13;10,0;1;L;1;32;34;
15913;295/80R22.5;Pir;Fg85;03;9,0;1;L;2;34;;
15945;295/80R22.5;Bri;R227;13;9,0;1;L;1;34;;
16014;295/80R22.5;Pir;Fr85;13;7,0;1;L;1;34;;
16075;295/80R22.5;Pir;Fg85;13;2,0;1;T;1;26;34;
16114;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;12;;
16130;295/80R22.5;Pir;Fr85;13;3,0;1;T;1;12;;
16172;295/80R22.5;Pir;Fr85;13;4,0;1;L;1;40;;
16190;295/80R22.5;Pir;Fg85;13;4,0;1;T;1;12;;
16212;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;34;25;41
16213;295/80R22.5;Pir;Fg85;13;15,0;2;M;2;41;35;
16302;295/80R22.5;Pir;Fg85;?;4,0;1;T;1;8;;
16318;295/80R22.5;Bri;M729;13;6,0;2;L;1;34;;
16333;295/80R22.5;Bri;R227;13;12,0;1;L;1;32;34;
16349;295/80R22.5;Bri;R227;13;1,0;1;L;2;12;;
16355;295/80R22.5;Bri;R227;13;17,0;2;M;1;34;8;
16360;295/80R22.5;Bri;R227;13;12,0;2;M;1;32;8;
16402;295/80R22.5;Bri;R227;13;7,0;1;T;1;12;;
16409;295/80R22.5;Bri;M729;13;3,0;1;T;1;34;;
16453;295/80R22.5;Bri;M729;13;10,0;1;T;3;40;;
16631;295/80R22.5;Pir;Fg85;13;6,0;1;L;1;34;35;
16632;295/80R22.5;Pir;Fg85;13;5,0;1;L;1;34;2;
16656;295/80R22.5;Pir;Fg85;13;8,0;1;L;2;12;14;
16664;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;5;2;34
16725;295/80R22.5;Pir;Fg85;13;6,0;1;T;1;26;;
16728;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;25;;
16769;295/80R22.5;Pir;Fg85;13;6,0;1;L;1;41;34;35
16791;295/80R22.5;Pir;Fg85;13;5,0;1;L;1;34;12;
16805;295/80R22.5;Pir;Fg85;13;12,0;1;T;1;34;;
